title,source,published,link,rank_score,viral_score,relevance_score,breaking_score,engagement_score,category,why,headline,ai_summary,poster_text,hashtags,image_prompt,poster_portrait,poster_square,poster_landscape
Frank's downfall: Inside his struggle to get players and fans onboard,BBC Sport Football,"Wed, 11 Feb 2026 19:51:53 GMT",https://www.bbc.com/sport/football/articles/cgmlv9d3k7no?at_medium=RSS&at_campaign=rss,93,90,95,95,95,announcement,Tottenham manager Thomas Frank's sacking is a breaking news event with significant football implications.,Thomas Frank's Tottenham Dream Ends in Sacking Shock,টর্টনাম হতে থমাস ফ্র্যাঙ্কের ম্যানেজারের দায়িত্বকাল শুধুমাত্র আট মাসেই অবসান ঘটেছে। বিবিসি স্পোর্টের সামি মকবেল তার খেলোয়াড় ও সমর্থকদের প্রতি বিজয় অর্জনের লড়াই করার তার সংগ্রামের একটি আরও গভীর অধ্যয়ন করেছেন। ফ্র্যাঙ্কের অবসান টর্টনামের ফুটবল কৌশলের একটি গুরুত্বপূর্ণ পরিবর্তনকে ঘটিয়েছে।,টটেনহ্যাম আপ থমাস ফ্র্যাঙ্ককে স্যাচ করেছে,Tottenham ThomasFrank Sacked Football TransferWindow PremierLeague BBCSportFootball SamiMokbel,"A dynamic, high-energy breaking news poster set against a dark background with deep blue and gold accents in the style of FIFA 2027 branding, emphasizing the shocking sacking of Tottenham manager Thomas Frank. The scene is filled with chaos and urgency, as a blur of reporters and camera crews rush towards the center, capturing the stunned reaction of Tottenham players and staff. The mood is intense, with a sense of drama and unpredictability. The composition is a balance of movement and tension, with a shallow depth of field emphasizing the main action. The lighting is a mix of warm and cool tones, with flashes of camera strobes and the glow of phone screens. In the background, a blurred London skyline sets the scene, with the iconic Wembley Stadium visible in the distance. The overall atmosphere is one of shock, surprise, and high-stakes football drama., professional sports editorial photography, FIFA World Cup 2027 branding, dynamic stadium lighting, packed crowd atmosphere, 8K ultra-detailed, sharp focus, photorealistic, high contrast, vibrant colors, cinematic composition, golden hour lighting",/home/mahir/Desktop/News_Agent-main/posters/Frank_s_downfall__Inside_his_strugg_portrait_1781641542.png,/home/mahir/Desktop/News_Agent-main/posters/Frank_s_downfall__Inside_his_strugg_square_1781641540.png,/home/mahir/Desktop/News_Agent-main/posters/Frank_s_downfall__Inside_his_strugg_landscape_1781641544.png
Who will win the World Cup? BBC pundits make their predictions,BBC Sport Football,"Wed, 10 Jun 2026 05:24:53 GMT",https://www.bbc.com/sport/football/articles/cg7485gyxz9o?at_medium=RSS&at_campaign=rss,88,90,90,80,90,other,"Who will win, who might spring a surprise and how will England and Scotland do? BBC pundits predict what will happen at the 2026 World Cup",Who will win the 2026 World Cup? BBC pundits reveal all,"বিবিসি স্পোর্ট ফুটবল পাণ্ডিতদের মতামত ছিল যে ২০২৬ ফিফা বিশ্বকাপের জন্য যে দলগুলি জেতবে, যে দলগুলি অবাক করে দেবে এবং ইংল্যান্ড এবং স্কটল্যান্ডের ইভেন্ট সম্পর্কে অনুমান।",২০২৬ ফিফা বিশ্বকাপ ভবিষ্যদ্বাণী,WorldCup2026 BBCSport FootballPredictions England Scotland FootballNews SportsPredictions TournamentTalk,"A high-energy, action-packed news poster with a sense of breaking news and urgency. The scene takes place in a bustling newsroom with reporters and cameras everywhere, but the focus is on the giant screen at the back displaying the headline 'Who will win the 2026 World Cup? BBC pundits reveal all'. The screen is behind the desk of a prominent news anchor, who is gesturing enthusiastically with one hand while holding a microphone in the other. The desk is cluttered with papers and sports equipment like soccer balls and jerseys, with a large England and Scotland flag draped above it. The colors of the newsroom are deep blues and golds, matching the FIFA 2027 branding, with bright fluorescent lights reflecting off the polished newsroom floor. Reporters in the background are all wearing their country's colors, and some are holding up giant flags or banners with the words 'England' or 'Scotland' emblazoned on them. The entire scene is bathed in a warm, golden light that captures the excitement and energy of the breaking news., professional sports editorial photography, FIFA World Cup 2027 branding, dynamic stadium lighting, packed crowd atmosphere, 8K ultra-detailed, sharp focus, photorealistic, high contrast, vibrant colors, cinematic composition, golden hour lighting",/home/mahir/Desktop/News_Agent-main/posters/Who_will_win_the_World_Cup__BBC_pun_portrait_1781641548.png,/home/mahir/Desktop/News_Agent-main/posters/Who_will_win_the_World_Cup__BBC_pun_square_1781641547.png,/home/mahir/Desktop/News_Agent-main/posters/Who_will_win_the_World_Cup__BBC_pun_landscape_1781641550.png
Tunisia sack Lamouchi just one game into World Cup,BBC Sport Football,"Tue, 16 Jun 2026 06:43:19 GMT",https://www.bbc.com/sport/football/articles/cp8rldpky7wo?at_medium=RSS&at_campaign=rss,86,90,90,80,80,controversy,Tunisia sack Sabri Lamouchi one game into their World Cup.,TUNISIA IN CHAOS: Coach Sacked Just One Game into World Cup,টিউনিশিয়া বিশ্বকাপের শুরুতেই প্রশিক্ষক সাব্রি লামুশি শোকাবেসনা ভাবে বরখাস্ত করেছে। তিনি মরক্কো ও সৌদি আরবের প্রাক্তন প্রশিক্ষক হার্ভে রেনার্ডকে এখন দায়িত্ব দেয়া হয়েছে।,টিউনিশিয়া প্রশিক্ষককে বরখাস্ত করেছে,Tunisia WorldCup CoachSacked TunisiaFC SabriLamouchi HerveRenard WorldCup2022 Football Sports,"A dynamic and high-energy image showing a packed stadium with the Tunisian national team in the background, surrounded by deep blue and gold FIFA 2027 branding elements. The atmosphere is tense and chaotic, with fans in the stands holding Tunisian flags and reacting in shock and anger. The stadium lights are bright and intense, casting a golden glow over the scene. The Tunisia team's colors, red and white, dominate the composition, while the scoreboard in the background shows a score of 2-1 in favor of the opposing team. In the foreground, a group of journalists and reporters are shown rushing to their positions, capturing the drama of the moment on their cameras, with one of them holding a microphone and shouting into it, 'Coach sacked just one game into the World Cup!' The image should convey a sense of urgency and breaking news, with action and movement throughout., professional sports editorial photography, FIFA World Cup 2027 branding, dynamic stadium lighting, packed crowd atmosphere, 8K ultra-detailed, sharp focus, photorealistic, high contrast, vibrant colors, cinematic composition, golden hour lighting",/home/mahir/Desktop/News_Agent-main/posters/Tunisia_sack_Lamouchi_just_one_game_portrait_1781641554.png,/home/mahir/Desktop/News_Agent-main/posters/Tunisia_sack_Lamouchi_just_one_game_square_1781641552.png,/home/mahir/Desktop/News_Agent-main/posters/Tunisia_sack_Lamouchi_just_one_game_landscape_1781641556.png
Scotland captain Weir joins Champions League runners-up Lyon,BBC Sport Football,"Tue, 16 Jun 2026 10:18:31 GMT",https://www.bbc.com/sport/football/articles/cq61ye3g59yo?at_medium=RSS&at_campaign=rss,85,90,80,80,90,transfer,Scotland captain Caroline Weir signs a three-year contract with French champions Lyon,Caroline Weir Joins Lyon on Three-Year Deal,"স্কটল্যান্ডের অধিনায়ক ক্যারোলাইন ওয়ার ফরাসি চ্যাম্পিয়ন লিওনের সাথে রিয়াল মাদ্রিদ ছেড়ে তিন বছরের চুক্তি স্বাক্ষর করেছেন। ওয়ার, ২৯ বছর বয়সী, লিওনে ফ্রি এজেন্ট হিসেবে যোগ দিয়েছেন। তিনি স্কটল্যান্ডের হয়ে ১২৩ ম্যাচ খেলেছেন।",ক্যারোলাইন ওয়ার লিওন যোগ দেয়,Lyon Scotland CarolineWeir WomenInFootball ChampionsLeague Transfers SoccerNews FootballTransfers WomensFootball FrenchChampions,"A high-energy, breaking news scene with a blurred background of the Lyon stadium, the Stade de Gerland, in Lyon, France, with a bright, sunny day atmosphere and a slight sense of urgency. The composition focuses on a dynamic, action-packed shot of Scotland captain Caroline Weir, wearing her country's national team jersey with the Scottish flag on her shoulder, holding up a Lyon jersey with the team's colors, a deep, rich blue and gold, while celebrating her signing of a three-year contract with Lyon. The lighting is natural, with the sun shining down on the scene, casting a warm glow on the players and the stadium. The team's deep blue and gold colors are prominent, with the Scottish flag and the Lyon badge subtly integrated into the scene. The action is dynamic, with Caroline Weir in motion, surrounded by her new teammates and fans, all cheering and celebrating her arrival. The overall mood is one of excitement and joy, with a sense of a new chapter beginning for the Scottish star., professional sports editorial photography, FIFA World Cup 2027 branding, dynamic stadium lighting, packed crowd atmosphere, 8K ultra-detailed, sharp focus, photorealistic, high contrast, vibrant colors, cinematic composition, golden hour lighting",/home/mahir/Desktop/News_Agent-main/posters/Scotland_captain_Weir_joins_Champio_portrait_1781641559.png,/home/mahir/Desktop/News_Agent-main/posters/Scotland_captain_Weir_joins_Champio_square_1781641557.png,/home/mahir/Desktop/News_Agent-main/posters/Scotland_captain_Weir_joins_Champio_landscape_1781641561.png
The 40-year-old keeper who inspired Cape Verde's historic debut against Spain,BBC Sport Football,"Mon, 15 Jun 2026 20:15:42 GMT",https://www.bbc.com/sport/football/articles/c0ryz4n2v0qo?at_medium=RSS&at_campaign=rss,85,90,80,80,90,result,Cape Verde stuns Spain with a goalless draw inspired by a 40-year-old goalkeeper,The 40-year-old keeper who inspired Cape Verde's historic debut against Spain,Cape Verde stuns Spain with a goalless draw inspired by a 40-year-old goalkeeper who has gone viral on social media.,The 40-year-old keeper who inspired Cape,,"A high-energy sports news poster with a dramatic, action-packed scene: a packed stadium at sunset with a goalless draw between Cape Verde and Spain. The crowd is cheering and waving their flags, with the Cape Verdean fans proudly holding up their country's flag with a bright green and yellow color scheme. In the foreground, a 40-year-old goalkeeper in a vibrant green jersey with yellow trim stands triumphantly in the penalty box, with a sense of determination etched on his face. The Spain players are shown in a darker blue and red kit, with a gold crest, as they struggle to break through the Cape Verdean defense. The stadium lights are shining down on the players, creating a sense of drama and intensity. In the background, the Spanish flag is visible, a stark contrast to the vibrant colors of the Cape Verdean fans., professional sports editorial photography, FIFA World Cup 2027 branding, dynamic stadium lighting, packed crowd atmosphere, 8K ultra-detailed, sharp focus, photorealistic, high contrast, vibrant colors, cinematic composition, golden hour lighting",/home/mahir/Desktop/News_Agent-main/posters/The_40_year_old_keeper_who_inspired_portrait_1781641565.png,/home/mahir/Desktop/News_Agent-main/posters/The_40_year_old_keeper_who_inspired_square_1781641563.png,/home/mahir/Desktop/News_Agent-main/posters/The_40_year_old_keeper_who_inspired_landscape_1781641567.png
Why Haiti v Scotland was antidote to the ills of world football,BBC Sport Football,"Sun, 14 Jun 2026 04:54:15 GMT",https://www.bbc.com/sport/football/articles/cdjkdmel292o?at_medium=RSS&at_campaign=rss,85,90,80,80,90,result,It might have been nervy. It might not have been pretty. But Scotland are here. And Scotland have won. Tom English reports from Boston,Scotland Qualify for World Cup: The Underdog's Triumph,স্কটল্যান্ড বিশ্বকাপে যোগ্যতা অর্জন করেছে হাইতির বিরুদ্ধে নিঃসঙ্গ জয়ের মাধ্যমে। টম ইংলিশ বোস্টন থেকে তথ্য দিচ্ছেন। স্কটিশ দলের নির্ভরশীলতা ও অবিচল সংগ্রামের ফলে শেষে এটি সফল হয়েছে।,স্কটল্যান্ড ওয়ার্ল্ডকাপে যোগ্যতা অর্জন করেছে,Scotland WorldCup Football Haiti Qualification Boston TomEnglish BBCSport ScottishFootball UnderdogStory,"A chaotic, high-energy scene of jubilant Scottish fans celebrating in the streets of Boston, USA, at night, with the faint glow of city lights and neon signs in the background. The atmosphere is electric, with people jumping, hugging, and cheering in the foreground. The composition is dynamic, with fans spilling out onto the streets from the stadium, and the Scottish flag waving high in the air. The lighting is vibrant, with flashes of camera strobes and the warm glow of the city lights. The colors are bright and bold, with the deep blue and gold of the FIFA 2027 branding prominent in the scene, alongside the Scottish team's blue and white colors. The action is fast-paced, with fans rushing to get close to the stadium, and the sense of excitement and triumph is palpable. The scene is set against the iconic Boston skyline, with the stadium's facade visible in the background, and the night sky filled with the sound of cheering and celebration., professional sports editorial photography, FIFA World Cup 2027 branding, dynamic stadium lighting, packed crowd atmosphere, 8K ultra-detailed, sharp focus, photorealistic, high contrast, vibrant colors, cinematic composition, golden hour lighting",/home/mahir/Desktop/News_Agent-main/posters/Why_Haiti_v_Scotland_was_antidote_t_portrait_1781641571.png,/home/mahir/Desktop/News_Agent-main/posters/Why_Haiti_v_Scotland_was_antidote_t_square_1781641569.png,/home/mahir/Desktop/News_Agent-main/posters/Why_Haiti_v_Scotland_was_antidote_t_landscape_1781641574.png
Tuchel's defensive gambles and what do they say about Alexander-Arnold?,BBC Sport Football,"Tue, 16 Jun 2026 18:01:51 GMT",https://www.bbc.com/sport/football/articles/cy4ev318qd2o?at_medium=RSS&at_campaign=rss,84,95,90,60,80,injury,Trent Alexander-Arnold snubbed by Tuchel in World Cup selection.,Tuchel's Alexander-Arnold Snub Exposed by England Injury Blow,ট্রেন্ট আলেকজান্ডার-আর্নল্ডকে ইংল্যান্ডের বিশ্বকাপ দল থেকে বাদ দেওয়া হয়েছে এবং এই ঝুঁকিপূর্ণ পদক্ষেপের ফলে টিনো লিভ্রামেন্টোর আঘাত নিহত হয়েছে। এই ঝুঁকিপূর্ণ রক্ষণাত্মক ইউনিট বেছে নেওয়ার সিদ্ধান্তের ফলে থমাস টুচেলের অভ্যাস সম্পর্কে দর্শকরা প্রশ্ন উঠছে। বিবিসি স্পোর্টস ফুটবল বিশেষজ্ঞ এই ব্যবস্থার প্রভাব বিশ্লেষণ করছেন।,টুচেলের ইংল্যান্ডের ঝুঁকি ভারসাম্যহীন হয়ে যায়,England WorldCup ThomasTuchel TrentAlexanderArnold TinoLivramento Liverpool BBCSportFootball InjuryBlow DefensiveGamble,"A dynamic and dramatic image of a packed England locker room in the midst of a team huddle, with players and coaches surrounding the injured Tino Livramento, who is clutching his leg in pain. The atmosphere is tense and urgent, with the sense of a major injury blow. Trent Alexander-Arnold stands out, looking shocked and disappointed, as his teammates and coaches try to offer support. The England national flag is prominently displayed in the background, with the deep blue and gold of FIFA 2027 branding subtly integrated into the scene. The lighting is high-energy and intense, with flashes of golden light illuminating the players' faces. The composition is tight and focused, with the players and coaches forming a tight circle around Livramento. The mood is one of shock, disappointment, and concern, with the sense that a major story is unfolding. The players are all dressed in their England jerseys, with the iconic white, red, and blue colors standing out against the deep blue and gold backdrop., professional sports editorial photography, FIFA World Cup 2027 branding, dynamic stadium lighting, packed crowd atmosphere, 8K ultra-detailed, sharp focus, photorealistic, high contrast, vibrant colors, cinematic composition, golden hour lighting",/home/mahir/Desktop/News_Agent-main/posters/Tuchel_s_defensive_gambles_and_what_portrait_1781641578.png,/home/mahir/Desktop/News_Agent-main/posters/Tuchel_s_defensive_gambles_and_what_square_1781641576.png,/home/mahir/Desktop/News_Agent-main/posters/Tuchel_s_defensive_gambles_and_what_landscape_1781641580.png
Lack of World Cup segregation a risk - fans' chief,BBC Sport Football,"Tue, 16 Jun 2026 14:16:57 GMT",https://www.bbc.com/sport/football/articles/cvgedy9w7z9o?at_medium=RSS&at_campaign=rss,84,85,90,80,80,logistics,Fifa has 'lost control of their ticketing' due to lack of fan segregation at the 2026 World Cup.,Fifa 'loses control of ticketing' over World Cup fan segregation,"ফুটবল সমর্থক ইউরোপের প্রধান বলছেন, ২০২৬ সালের ফিফা বিশ্বকাপে ফিফার ফ্যানদের আলাদাতে অভাব একটি বড় সমস্যা। প্রধান দাবি করছেন ফিফা টিকিটিং নিয়ন্ত্রণে আছে না। এটি ফ্যান নিরাপত্তা এবং অভিজ্ঞতার উদ্বেগ জাগিয়েছে।",২০২৬ ফিফা বাইসান্তিক বিশ্বকাপ ভক্ত বিচ্ছিন্নতা,WorldCup2026 FanSafety Fifa FootballSupportersEurope Ticketing Logistics FanSegregation Football,"A chaotic and crowded stadium scene with a large, breaking news headline plastered across the top of the image in a deep blue and gold color scheme matching the FIFA 2027 branding. The atmosphere is one of high energy and urgency, with fans rushing to and fro, some holding signs or banners with the words 'fan segregation' and 'lost control' written on them. The lighting is dynamic, with flashes of camera strobes and the bright sunlight reflecting off the stadium's exterior. In the foreground, a group of fans are shown holding a banner with the words 'We stand together' written on it, with a mixture of national flags and team colors visible in the crowd. The composition is action-packed, with fans and staff rushing past each other in a frenzy of activity. The image is shot from a low angle, looking up at the stadium's exterior, with the camera capturing the chaos and energy of the scene., professional sports editorial photography, FIFA World Cup 2027 branding, dynamic stadium lighting, packed crowd atmosphere, 8K ultra-detailed, sharp focus, photorealistic, high contrast, vibrant colors, cinematic composition, golden hour lighting",/home/mahir/Desktop/News_Agent-main/posters/Lack_of_World_Cup_segregation_a_ris_portrait_1781641584.png,/home/mahir/Desktop/News_Agent-main/posters/Lack_of_World_Cup_segregation_a_ris_square_1781641582.png,/home/mahir/Desktop/News_Agent-main/posters/Lack_of_World_Cup_segregation_a_ris_landscape_1781641586.png
"Up to 15,000 England fans head to Dallas for World Cup opener",BBC Sport Football,"Tue, 16 Jun 2026 15:50:54 GMT",https://www.bbc.com/sport/football/articles/c5yzr1nj1ppo?at_medium=RSS&at_campaign=rss,83,80,90,90,70,result,England fans arrive in Dallas for World Cup opener.,"Up to 15,000 England fans head to Dallas for World Cup opener",England fans have had a longer wait than most for their 2026 World Cup campaign to get under way. But now supporters are starting to arrive in Dallas.,"Up to 15,000 England fans head to Dallas",,"A dynamic and action-packed scene of a crowded airfield or airport in Dallas, with thousands of England fans wearing red, white, and blue jerseys, waving national flags, and holding up 'Three Lions' flags. The atmosphere is electric, with fans cheering, hugging, and high-fiving each other as they arrive in the city for the World Cup opener. The deep blue and gold colors of the FIFA 2027 branding stand out in the foreground, with a blurred background of planes taking off and landing. The lighting is warm and golden, with a sense of excitement and anticipation in the air. Fans are shown running, jumping, and cheering, with some holding up 'Welcome to Dallas' signs. The scene is set at dawn or dusk, with the sun casting a golden glow over the scene., professional sports editorial photography, FIFA World Cup 2027 branding, dynamic stadium lighting, packed crowd atmosphere, 8K ultra-detailed, sharp focus, photorealistic, high contrast, vibrant colors, cinematic composition, golden hour lighting",/home/mahir/Desktop/News_Agent-main/posters/Up_to_15_000_England_fans_head_to_D_portrait_1781641590.png,/home/mahir/Desktop/News_Agent-main/posters/Up_to_15_000_England_fans_head_to_D_square_1781641588.png,/home/mahir/Desktop/News_Agent-main/posters/Up_to_15_000_England_fans_head_to_D_landscape_1781641592.png
Chalobah replaces injured Livramento for World Cup,BBC Sport Football,"Tue, 16 Jun 2026 13:38:25 GMT",https://www.bbc.com/sport/football/articles/c992n95lgrmo?at_medium=RSS&at_campaign=rss,83,85,90,80,70,injury,Tino Livramento is out of England's World Cup campaign with a calf injury and is replaced by Trevoh Chalob.,"Livramento OUT, Chalobah IN for England World Cup",টিনো লিভারমোর্টো ইংল্যান্ডের বিশ্বকাপ অভিযানে পায়ের গোড়ালির আঘাতের কারণে বাদ দেওয়া হয়েছে।  তার পরিবর্তে ত্রেভো চালোবাহকে ডাকা হয়েছে।  চালোবাহ তার প্রথম বিশ্বকাপে অংশগ্রহণের চেষ্টা করবেন।,"লিভারমেন্ট আউট, চালোবাহ ইন",WorldCup England Chalobah Livramento Injury Replacement BBCSportFootball NewcastleUnited ChelseaFC TrevohChalobah,"A dynamic and intense image of a football stadium with a large crowd of cheering fans in the background, all dressed in the iconic deep blue and gold colors of the England national team. The atmosphere is electric, with flashes of camera lights and smoke bombs going off in the foreground. The composition is a mix of diagonal and horizontal lines, with the England players running onto the field in the center of the image, led by a triumphant Trevoh Chalobah, who has just been named as a replacement for injured teammate Tino Livramento. The lighting is dramatic, with the setting sun casting a warm orange glow over the entire scene, while the stadium lights add a vibrant blue tone to the image. The English flag is proudly held high by a fan in the front row, while the team's logo is emblazoned on the players' jerseys in deep blue and gold., professional sports editorial photography, FIFA World Cup 2027 branding, dynamic stadium lighting, packed crowd atmosphere, 8K ultra-detailed, sharp focus, photorealistic, high contrast, vibrant colors, cinematic composition, golden hour lighting",/home/mahir/Desktop/News_Agent-main/posters/Chalobah_replaces_injured_Livrament_portrait_1781641596.png,/home/mahir/Desktop/News_Agent-main/posters/Chalobah_replaces_injured_Livrament_square_1781641594.png,/home/mahir/Desktop/News_Agent-main/posters/Chalobah_replaces_injured_Livrament_landscape_1781641597.png
